Date,Dataset,hemisphere,Extent
1978-10-26 00:00:00,nsidc0051,north,10.231
1978-10-28 00:00:00,nsidc0051,north,10.42
1978-10-30 00:00:00,nsidc0051,north,10.557
1978-11-01 00:00:00,nsidc0051,north,10.67
1978-11-03 00:00:00,nsidc0051,north,10.777
1978-11-05 00:00:00,nsidc0051,north,10.968
1978-11-07 00:00:00,nsidc0051,north,11.08
1978-11-09 00:00:00,nsidc0051,north,11.189
1978-11-11 00:00:00,nsidc0051,north,11.314
1978-11-13 00:00:00,nsidc0051,north,11.46
1978-11-15 00:00:00,nsidc0051,north,11.539
1978-11-17 00:00:00,nsidc0051,north,11.696
1978-11-19 00:00:00,nsidc0051,north,11.87
1978-11-21 00:00:00,nsidc0051,north,12.053
1978-11-23 00:00:00,nsidc0051,north,12.274
1978-11-25 00:00:00,nsidc0051,north,12.441
1978-11-27 00:00:00,nsidc0051,north,12.662
1978-11-29 00:00:00,nsidc0051,north,12.684
1978-12-01 00:00:00,nsidc0051,north,12.725
1978-12-03 00:00:00,nsidc0051,north,12.66
1978-12-05 00:00:00,nsidc0051,north,12.785
1978-12-07 00:00:00,nsidc0051,north,13.051
1978-12-09 00:00:00,nsidc0051,north,13.143
1978-12-11 00:00:00,nsidc0051,north,13.437
1978-12-13 00:00:00,nsidc0051,north,13.603
1978-12-15 00:00:00,nsidc0051,north,13.649
1978-12-17 00:00:00,nsidc0051,north,13.807
1978-12-19 00:00:00,nsidc0051,north,13.892
1978-12-21 00:00:00,nsidc0051,north,13.996
1978-12-23 00:00:00,nsidc0051,north,14.189
1978-12-25 00:00:00,nsidc0051,north,14.268
1978-12-27 00:00:00,nsidc0051,north,14.383
1978-12-29 00:00:00,nsidc0051,north,14.5
1978-12-31 00:00:00,nsidc0051,north,14.585
1979-01-02 00:00:00,nsidc0051,north,14.997
1979-01-04 00:00:00,nsidc0051,north,14.922
1979-01-06 00:00:00,nsidc0051,north,14.929
1979-01-08 00:00:00,nsidc0051,north,14.968
1979-01-10 00:00:00,nsidc0051,north,15.19
1979-01-12 00:00:00,nsidc0051,north,15.327
1979-01-14 00:00:00,nsidc0051,north,15.352
1979-01-16 00:00:00,nsidc0051,north,15.5
1979-01-18 00:00:00,nsidc0051,north,15.517
1979-01-20 00:00:00,nsidc0051,north,15.709
1979-01-22 00:00:00,nsidc0051,north,15.679
1979-01-24 00:00:00,nsidc0051,north,15.745
1979-01-26 00:00:00,nsidc0051,north,15.686
1979-01-28 00:00:00,nsidc0051,north,15.777
1979-01-30 00:00:00,nsidc0051,north,15.912
1979-02-01 00:00:00,nsidc0051,north,15.857
1979-02-03 00:00:00,nsidc0051,north,15.839
1979-02-05 00:00:00,nsidc0051,north,15.831
1979-02-07 00:00:00,nsidc0051,north,15.801
1979-02-09 00:00:00,nsidc0051,north,15.99
1979-02-11 00:00:00,nsidc0051,north,16.099
1979-02-13 00:00:00,nsidc0051,north,16.289
1979-02-15 00:00:00,nsidc0051,north,16.323
1979-02-17 00:00:00,nsidc0051,north,16.343
1979-02-19 00:00:00,nsidc0051,north,16.291
1979-02-21 00:00:00,nsidc0051,north,16.26
1979-02-23 00:00:00,nsidc0051,north,16.401
